frase,intencao
Quero fazer um site para minha empresa,site
Preciso de um site institucional,site
Vocês fazem sites personalizados?,site
Como funciona o processo de criação de sites?,site
Vocês criam sites profissionais?,site
Vocês desenvolvem sites?,site
Fazem desenvolvimento de sites?,site
Criação de sites está disponível?,site
Vocês fazem páginas de vendas?,landing
Preciso de uma página de vendas,landing
Quero uma página de vendas,landing
Vocês criam páginas de e-commerce?,landing
Fazem página de vendas para produto?,landing
Página de vendas é com vocês?,landing
Criam páginas de vendas?,landing
Vocês criam página de vendas para campanhas?,landing
Desenvolvem página de vendas para produtos digitais?,landing
Vocês oferecem cartao interativo?,cartao
Vocês fazem cartão de visita digital?,cartao
Vocês criam cartão digital?,cartao
Fazem cartão virtual?,cartao
Posso fazer cartão de visita com vocês?,cartao
Cartão digital está disponível?,cartao
Quais serviços vocês oferecem?,servicos
O que vocês fazem?,servicos
Gostaria de conhecer os serviços disponíveis,servicos
Vocês oferecem serviços além de sites?,servicos
Quais áreas vocês atendem?,servicos
Quanto custa um site?,precos
Qual é o valor para desenvolver um site?,precos
Quanto fica um site básico?,precos
Vocês cobram por hora ou projeto?,precos
Gostaria de saber os preços,precos
Qual o valor do serviço?,precos
Quero saber o preço do site,precos
Quanto vocês cobram por um site?,precos
Me fala o preço de um site institucional,precos
Preço médio de um site?,precos
Qual é a faixa de preço?,precos
Quero saber o custo inicial,precos
Tem ideia de quanto custa?,precos
Vocês cobram caro?,precos
Quanto custa um cartão digital?,precos
qual o preco para desenvolver um site?,precos
quanto custa?,precos
qual o valor?,precos
tem tabela de preços?,precos
quero saber os preços,precos
preço de site?,precos
me manda o preço,precos
qual o custo?,precos
quanto cobram por página?,precos
me envia preços,precos
quanto fica pra fazer isso?,precos
valores por favor,precos
quero o preço,precos
cobram quanto?,precos
tem desconto?,precos
os preços estão atualizados?,precos
tem planos com valores diferentes?,precos
preços por tipo de site?,precos
quero saber o custo agora,precos
Vocês aceitam Pix?,pagamento
Posso pagar com cartão?,pagamento
Quais formas de pagamento?,pagamento
Aceitam boleto bancário?,pagamento
Quais formas de pagamento vocês aceitam?,pagamento
Tem opção de parcelamento?,pagamento
Qual o prazo para entrega?,prazo
Quanto tempo demora para desenvolver um site?,prazo
Quanto tempo leva para fazer o site?,prazo
Prazo médio de entrega?,prazo
Vocês entregam rápido?,prazo
Quanto demora para concluir o projeto?,prazo
Fazem anúncios no Google Ads?,google_ads
Vocês gerenciam campanhas no Google?,google_ads
Quero anunciar no Google vocês fazem isso?,google_ads
Trabalham com tráfego pago no Google?,google_ads
Oferecem suporte em Google Ads?,google_ads
Vocês tem redes sociais?,redes_sociais
Vocês trabalham com redes sociais?,redes_sociais
Criam conteúdo para redes sociais?,redes_sociais
Gerenciam perfis sociais?,redes_sociais
Fazem artes para Instagram?,redes_sociais
Oferecem pacote de redes sociais?,redes_sociais
Tem como ver exemplos de trabalhos?,portfolio
Gostaria de ver o portfólio de vocês,portfolio
Tem site com projetos já feitos?,portfolio
Vocês têm amostras de trabalhos anteriores?,portfolio
Me mostra exemplos de sites que já fizeram,portfolio
vocês têm portfólio?,portfolio
onde posso ver os trabalhos de vocês?,portfolio
tem exemplos de sites que fizeram?,portfolio
me manda o portfólio,portfolio
onde vejo projetos já feitos?,portfolio
trabalhos anteriores?,portfolio
quero ver seus jobs anteriores,portfolio
algum link com os sites já feitos?,portfolio
vocês já fizeram algum site que eu possa ver?,portfolio
portifólio de sites por favor,portfolio
tem amostra de projetos?,portfolio
vocês têm cases?,portfolio
me manda portifolio,portfolio
trabalhos passados?,portfolio
me mostra projetos antigos,portfolio
link do portfólio,portfolio
pode me enviar seu portifólio?,portfolio
quero avaliar os projetos anteriores,portfolio
já fizeram algum site parecido?,portfolio
posso ver sites prontos que vocês fizeram?,portfolio
Estou com problema no meu site,suporte
O site saiu do ar conseguem ajudar?,suporte
Preciso de suporte técnico,suporte
Vocês fazem manutenção de site?,suporte
Como resolver erro no meu site?,suporte
preciso de ajuda técnica,suporte
meu site tá com problema,suporte
ajuda com erro no site,suporte
o site caiu,suporte
